name,IntID
CHEMBL2110990,4874
CHEMBL1183605,2681
CHEMBL2106471,43814
CHEMBL2108245,
CHEMBL3707259,
CHEMBL2105044,68707
CHEMBL2228862,91463
CHEMBL2426701,92874
CHEMBL1885437,3245
CHEMBL2108372,
CHEMBL1180074,8756
CHEMBL2108112,
CHEMBL2103762,1549158
CHEMBL2107531,54120
CHEMBL2106972,3047787
CHEMBL1182210,2335
CHEMBL2105910,2326
CHEMBL1266,5419
CHEMBL1201191,1549000
CHEMBL278172,2337
CHEMBL1752,3182
CHEMBL1224,5284514
CHEMBL600,12035
CHEMBL79,3676
CHEMBL1512,82153
CHEMBL312448,5709
CHEMBL49080,2783
CHEMBL2105497,36910
CHEMBL1200959,14677
CHEMBL2110780,36976
CHEMBL2107691,122553
CHEMBL746,50294
CHEMBL123693,5603
CHEMBL184618,8378
CHEMBL160519,4916
CHEMBL1742991,
CHEMBL1201217,3180
CHEMBL648,6726
CHEMBL25105,65130
CHEMBL1411979,4098
CHEMBL1899506,5484
CHEMBL415087,2805
CHEMBL1201589,
CHEMBL3707370,6465
CHEMBL1256786,3410
CHEMBL1201245,2444
CHEMBL1590,7028
CHEMBL370805,446220
CHEMBL1589896,3609
CHEMBL679,5816
CHEMBL1201271,6729
CHEMBL17157,5405
CHEMBL1474889,26937
CHEMBL1378,5440
CHEMBL310555,1923
CHEMBL1451,31307
CHEMBL1200406,10660
CHEMBL1172,124087
CHEMBL333826,2993
CHEMBL1263,5152
CHEMBL1095607,25654
CHEMBL762,4636
CHEMBL61006,4786
CHEMBL1000,2678
CHEMBL2104900,22425
CHEMBL396416,193653
CHEMBL1201469,
CHEMBL1370446,28688
CHEMBL52440,5360696
CHEMBL21333,4887
CHEMBL1004,3162
CHEMBL719,446596
CHEMBL946,19861
CHEMBL776,4086
CHEMBL505,2725
CHEMBL174984,65772
CHEMBL1094966,4845
CHEMBL2104734,19396
CHEMBL998,3957
CHEMBL643,4927
CHEMBL1946186,203911
CHEMBL2010601,16220172
CHEMBL1194287,25295
CHEMBL211456,9294
CHEMBL88055,431097
CHEMBL2109188,
CHEMBL639,2267
CHEMBL1500276,4619
CHEMBL2107112,15052414
CHEMBL1201295,35330
CHEMBL2110862,10610
CHEMBL14060,996
CHEMBL73234,2562
CHEMBL1141,4875
CHEMBL305660,3191
CHEMBL855,5282443
CHEMBL224325,6301
CHEMBL1370,5281004
CHEMBL2110760,16229
CHEMBL1187694,65600
CHEMBL2107884,
CHEMBL563,3394
CHEMBL1712170,5359271
CHEMBL980,3516
CHEMBL2105616,210320
CHEMBL2104264,28329
CHEMBL790,9552079
CHEMBL1201724,
CHEMBL1201353,33036
CHEMBL1625607,22530
CHEMBL485,5284371
CHEMBL253376,2442
CHEMBL1193,4761
CHEMBL3716057,24764487
CHEMBL986,445354
CHEMBL521,3672
CHEMBL1201213,3762
CHEMBL2104751,11508377
CHEMBL32800,3343
CHEMBL1215,6041
CHEMBL296419,2247
CHEMBL2105158,35949
CHEMBL1161,441336
CHEMBL1241,5587
CHEMBL632,9782
CHEMBL153479,2132
CHEMBL1305,2200
CHEMBL3833319,11753673
CHEMBL1620875,13738
CHEMBL714,2083
CHEMBL131,5755
CHEMBL2106325,3037918
CHEMBL384467,5743
CHEMBL2111135,6016
CHEMBL577736,452550
CHEMBL2105322,65787
CHEMBL1201313,2795
CHEMBL2104824,65979
CHEMBL2010507,4117
CHEMBL787,5281040
CHEMBL1189432,5281071
CHEMBL1187417,2330
CHEMBL2105148,3047788
CHEMBL1106,3241
CHEMBL19449,3671
CHEMBL193240,449193
CHEMBL434,3779
CHEMBL1457,5284569
CHEMBL761,4436
CHEMBL576127,3344
CHEMBL2105053,208903
CHEMBL14012,71899
CHEMBL1742423,185460
CHEMBL1214192,2310
CHEMBL1754,3156
CHEMBL346331,10090
CHEMBL3707371,16406
CHEMBL3092041,5463874
CHEMBL1623738,5457
CHEMBL1492,3103
CHEMBL603,5717
CHEMBL1697849,5284614
CHEMBL1615438,54385
CHEMBL2104445,72145
CHEMBL1697744,65632
CHEMBL2109143,
CHEMBL1865134,84746
CHEMBL2105039,68122
CHEMBL2105224,5311356
CHEMBL278398,11291
CHEMBL1201287,16960
CHEMBL1288810,65859
CHEMBL1201548,
CHEMBL151445,3169
CHEMBL389621,5754
CHEMBL521589,54766
CHEMBL37390,4977
CHEMBL534,3827
CHEMBL1332546,28892
CHEMBL2104462,65687
CHEMBL3184437,15684
CHEMBL13828,4615
CHEMBL1473,444036
CHEMBL829,5574
CHEMBL914,3348
CHEMBL1096,2161
CHEMBL1200558,10909430
CHEMBL2105167,71195
CHEMBL91397,133017
CHEMBL1742439,65624
CHEMBL2106467,34154
CHEMBL70972,
CHEMBL329203,7608
CHEMBL2104607,5497
CHEMBL2108429,
CHEMBL1114,5429
CHEMBL2040682,6918155
CHEMBL22108,21855
CHEMBL428880,2882
CHEMBL811,6834
CHEMBL3833302,6537439
CHEMBL2105302,120508
CHEMBL305906,2683
CHEMBL2110774,6475
CHEMBL364713,275196
CHEMBL1159717,5606
CHEMBL1201256,5577
CHEMBL3707229,
CHEMBL2105505,42553
CHEMBL1183717,33887
CHEMBL22150,2710
CHEMBL1200500,21700
CHEMBL32573,5524
CHEMBL1199480,51167
CHEMBL3989751,
CHEMBL864,2564
CHEMBL1200737,452110
CHEMBL2104591,31796
CHEMBL1201431,
CHEMBL2105002,6481
CHEMBL116943,5917
CHEMBL1095777,6918554
CHEMBL2111066,3781
CHEMBL1527608,50942
CHEMBL2105458,27901
CHEMBL657,3100
CHEMBL605846,11504295
CHEMBL12610,12555
CHEMBL1374379,7699
CHEMBL1229908,9363
CHEMBL73451,4066
CHEMBL1200689,145068
CHEMBL152408,4822
CHEMBL511,4992
CHEMBL516,2913
CHEMBL689,6251
CHEMBL94454,65906
CHEMBL1760,5403
